rank,lot,severity,affected_pct,address,city,owner,owner_mailing,use,paved_sqyd,section_sqyd,price_low,price_mid,price_high,why_warm,evidence
33,w0014,25.5,5,2 CITYVIEW LN,QUINCY,BMEF HIGHPOINT LLC,"PO BOX 92129, SOUTHLAKE, TX 76092",Apartments with More than Eight Units,8827,883,19400.0,25600.0,38800.0,"warm: same owner address as 200 RESEARCH DR, WILMINGTON (JLL- Wilmington)","crop A: uniform light-to-medium gray aged surface, no crack network; crop A: crisp white stall lines and crosshatched accessible bays"
34,w0027,25.0,5,55  CAMBRIDGE ST,BURLINGTON,20 BLANCHARD 111 SOUTH BEDFORD,"55 CAMBRIDGE ST, BURLINGTON, MA 01803",General Office Buildings,4921,492,10800.0,14300.0,21700.0,"warm: same owner address as 100  QUANNAPOWITT PKWY, WAKEFIELD (RJ Kelly - Wakefield)",crop A: surface is medium gray-blue and largely even across the lot; crop A: white stall lines and hatched accessible aisles are still sharp
35,w0006,24.5,4,25 WASHINGTON STREET UNIT 1-S,WELLESLEY,Newton-Wellesley Hospital,"2310 Washington Street, Newton Lower Falls, MA 02462",Hospitals (Charitable Org.),6592,659,14500.0,19100.0,29000.0,"warm: same owner address as 93 WORCESTER STREET, WELLESLEY (G and M New England)","crop A: aisles between the stall rows are even medium gray with no crack pattern; crop A: white stall lines crisp and continuous, directional arrow and hatching sharp"
36,w0013,24.5,5,140  DEPOT ST,BELLINGHAM,EGMR 140 DEPOT ST LLC,"PO BOX 92129, SOUTHLAKE, TX 76092",Warehouses for storage of manufactured products,21010,2101,46200.0,60900.0,92400.0,"warm: same owner address as 200 RESEARCH DR, WILMINGTON (JLL- Wilmington)","crop B: broad truck court in even light gray, only a couple of faint long linear cracks; crop B: straight parallel lines across the yard read as paving/concrete seams, not cracks"
37,w0038,24.5,6,10 -20 BURLINGTON MALL RD,BURLINGTON,10-20- MALL ROAD LLC,"55 CAMBRIDGE ST, BURLINGTON, MA 01803",General Office Buildings,15908,1591,35000.0,46100.0,70000.0,"warm: same owner address as 100  QUANNAPOWITT PKWY, WAKEFIELD (RJ Kelly - Wakefield)","panel A: surface lot north of the deck is weathered medium gray with blotchy tone; panel A: a few faint linear/sealed cracks across the drive aisle, no interconnected network"
38,w0064,22.5,2,37  MANNING RD,BILLERICA,BIRE 37 MANNING ROAD OWNER LLC,"1111 BROADWAY, OAKLAND, CA 94607",Research and Development facilities,7747,775,17000.0,22500.0,34100.0,"warm: same owner address as 32  MANNING RD, BILLERICA (Berkeley Partners)",crop A: truck apron and perimeter stalls are light gray and fairly uniform; crop A: white stall striping legible and reasonably crisp along both sides of the building
39,w0008,22.0,4,2387 BOSTON RD,WILBRAHAM,KRE-BSL HUSKY WILB LLC,"PO BOX 92129, SOUTHLAKE, TX 76092",Nursing Homes - includes property designed for minimal care with or without medical facilities,5241,524,11500.0,15200.0,23100.0,"warm: same owner address as 200 RESEARCH DR, WILMINGTON (JLL- Wilmington)","crop A: medium-gray, largely even surface around the entry loop and stall rows; crop A: one rectangular darker patch of different tone near the drive aisle"
40,w0018,21.0,0,101 STATION LANDING,MEDFORD,101 STATION OWNER LLC,"55 CAMBRIDGE ST, BURLINGTON, MA 01803",General Office Buildings,4059,406,8900.0,11800.0,17900.0,"warm: same owner address as 100  QUANNAPOWITT PKWY, WAKEFIELD (RJ Kelly - Wakefield)","panel A: only asphalt on the parcel is the service/bus drive along the north face, dark and evenly toned; panel A: no crack pattern, patches or sealing visible on that drive"
41,w0040,20.5,2,35  INDEPENDENCE WAY,DANVERS,MALL AT LIBERTY TREE LLC,"PO BOX 6120, INDIANAPOLIS, IN 46206-6120",Shopping Centers/Malls,11051,1105,24300.0,32000.0,48600.0,"warm: same owner address as 100  INDEPENDENCE WAY, DANVERS (Simon Malls ( Liberty Tree Mall))",panel A: uniformly toned light-gray surface with no blotching; panel A: bright crisp white stall striping and clean yellow hatched islands
42,w0042,20.5,2,SOUTHBRIDGE ST,AUBURN,MALL AT AUBURN LLC,"PO BOX 6120, INDIANAPOLIS, IN 46206",Shopping Centers/Malls,6556,656,14400.0,19000.0,28800.0,"warm: same owner address as 100  INDEPENDENCE WAY, DANVERS (Simon Malls ( Liberty Tree Mall))","crop A: strip of stalls at the top-left is evenly toned medium gray; crop A: white striping crisp and unbroken, hatched areas sharp"
43,w0079,19.5,0,35 PANAS ROAD,FOXBOROUGH,BPAZ HOLDINGS 31 LLC,"1111 BROADWAY, OAKLAND, CA 94607","Other Storage, Warehouse, and Distribution facilities (see also usecode 401)",11703,1170,25700.0,33900.0,51500.0,"warm: same owner address as 32  MANNING RD, BILLERICA (Berkeley Partners)","panel A: light gray, evenly toned apron and truck yard, no cracking visible; panel A: stall striping along the west side is thin and faded"
44,w0005,18.5,2,1  MARY`S WAY,LINCOLN,ND LINCOLN LLC,"2310 WASHINGTON STREET, NEWTON LOWER FALLS, MA 02462",Apartments with More than Eight Units,4912,491,10800.0,14200.0,21600.0,"warm: same owner address as 93 WORCESTER STREET, WELLESLEY (G and M New England)","crop A: parking bay at the top is dark, evenly toned with crisp white stall lines; crop A: drive loop and turnaround are clean and uniform, no cracks or patches"
45,w0028,18.0,0,405 COCHITUATE RD,FRAMINGHAM,405 COCHITUATE OWNER LLC,"55 CAMBRIDGE ST, BURLINGTON, MA 01803",General Office Buildings,6251,625,13800.0,18100.0,27500.0,"warm: same owner address as 100  QUANNAPOWITT PKWY, WAKEFIELD (RJ Kelly - Wakefield)","panel A: perimeter lot around office building is evenly toned light-medium gray; panel A: crisp white stall striping and hatched end-islands, no faded sections"
46,w0024,17.0,0,12 KENT WAY,NEWBURY,12 KENT WAY LLC,"55 CAMBRIDGE ST, BURLINGTON, MA 01803",Shopping Centers/Malls,16861,1686,37100.0,48900.0,74200.0,"warm: same owner address as 100  QUANNAPOWITT PKWY, WAKEFIELD (RJ Kelly - Wakefield)","crop A: large near-empty field is uniformly toned with no blotching; crop A: white stall lines, hatching and light-pole bases all crisp and unworn"
47,w0033,15.5,4,196 EAST MAIN ST,MILFORD,QUARRY SQUARE OWNER LLC,"55 CAMBRIDGE ST, BURLINGTON, MA 1803","Mixed Use (Primarily Industrial, some Commercial)",59604,5960,131100.0,172900.0,262300.0,"warm: same owner address as 100  QUANNAPOWITT PKWY, WAKEFIELD (RJ Kelly - Wakefield)","panel A: dark, very evenly toned surface with razor-sharp white striping and clean island curbs; panels B and C: same dark even tone, crisp striping, no cracking"
48,w0000,15.0,0,44 CABOT BLVD,MANSFIELD,BGO 44 CABOT OWNER LLC,"7315 WISCONSIN AVE STE 200W, BETHESDA, MD 20814",IND WHSES  M-94,12667,1267,27900.0,36700.0,55700.0,"warm: same owner address as 18  ESQUIRE RD, BILLERICA (JLL- north Billerica)",crop A: dominated by building roof and light concrete service apron; crop A: narrow strip of in-parcel asphalt north of the building is dark and even with crisp white striping
49,w0020,14.5,0,153  RANGEWAY RD,BILLERICA,RANGEWAY OWNER LLC,"55 CAMBRIDGE ST, BURLINGTON, MA 01803-4615",Office Building - part of manufacturing operation,18741,1874,41200.0,54400.0,82500.0,"warm: same owner address as 100  QUANNAPOWITT PKWY, WAKEFIELD (RJ Kelly - Wakefield)",panel A: large empty lot is uniformly light gray with no blotching; panel A: stall striping crisp and complete across every row
50,w0030,13.0,0,60  BURLINGTON MALL RD,BURLINGTON,50-54-60 MALL ROAD LLC,"55 CAMBRIDGE ST, BURLINGTON, MA 01803",General Office Buildings,4874,487,10700.0,14100.0,21400.0,"warm: same owner address as 100  QUANNAPOWITT PKWY, WAKEFIELD (RJ Kelly - Wakefield)","crop A: dark, evenly toned asphalt across the whole lot; crop A: crisp bright white stall striping and crosshatch markings"
51,w0036,12.5,0,20  BLANCHARD RD,BURLINGTON,20 BLANCHARD 111 SOUTH BEDFORD,"55 CAMBRIDGE ST, BURLINGTON, MA 01803",Research and Development facilities,13523,1352,29800.0,39200.0,59500.0,"warm: same owner address as 100  QUANNAPOWITT PKWY, WAKEFIELD (RJ Kelly - Wakefield)",panel A: dark even blue-gray surface across the whole lot; panel A: very crisp bright striping and clean hatched ends
52,w0044,11.5,0,210 ANDOVER ST BARNES & N,PEABODY,MALL AT NORTHSHORE LLC,"PO BOX 6120, INDIANAPOLIS, IN 46206","Discount Stores, Junior Department Stores, Department Stores",6064,606,13300.0,17600.0,26700.0,"warm: same owner address as 100  INDEPENDENCE WAY, DANVERS (Simon Malls ( Liberty Tree Mall))","panel A: clean, evenly toned light-gray surface with no blotching; panel A: bright fresh white stall striping and yellow hatched accessible aisles"
53,w0003,8.5,0,586 MANLEY ST,WEST BRIDGEWATER,WB MANLEY LLC,"2310 WASHINGTON STREET, NEWTON LOWER FALLS, MA 02462","Other Storage, Warehouse, and Distribution facilities (see also usecode 401)",22918,2292,50400.0,66500.0,100800.0,"warm: same owner address as 93 WORCESTER STREET, WELLESLEY (G and M New England)","crop A: fresh, unweathered even-toned pavement with brand-new bright white striping; crop A: looping dark curves are tire/skid marks, not cracking"
